temperature_cdd,humidity,crop_age,bollworm
28,87,86,0
36,51,45,0
32,44,35,0
29,76,70,0
28,71,76,0
32,48,48,1
32,80,88,0
25,74,66,0
29,58,81,0
24,87,88,0
23,55,35,0
33,42,67,1
27,59,58,0
23,63,52,0
22,72,42,0
33,63,29,0
33,50,88,1
38,88,53,0
31,47,71,1
37,75,29,0
36,77,38,0
36,79,77,0
33,59,20,0
24,74,88,0
26,87,23,0
28,64,35,0
30,74,43,0
28,64,21,0
39,68,51,0
25,57,43,0
35,85,31,0
39,57,69,1
30,41,54,0
23,74,52,0
36,55,52,1
28,80,80,0
33,75,70,0
29,72,62,0
36,43,31,0
24,72,86,0
35,53,84,1
38,60,52,1
25,87,59,0
39,59,62,1
29,47,63,0
25,46,48,0
23,42,32,0
27,56,31,0
31,72,65,0
25,87,21,0
39,51,54,1
33,61,27,0
23,61,45,0
31,85,53,0
25,69,26,0
35,77,87,0
37,77,77,0
36,84,48,0
29,47,55,0
35,66,40,0
29,66,55,0
37,73,29,0
34,60,43,0
39,69,83,0
36,72,68,0
34,67,55,0
30,86,43,0
36,72,42,0
34,44,81,1
22,87,56,0
28,58,31,0
30,43,74,0
22,74,32,0
33,88,42,0
29,56,49,0
32,83,36,0
38,67,81,0
29,69,32,0
24,68,78,0
24,85,38,0
22,45,68,0
26,74,31,0
31,80,80,0
28,76,38,0
30,63,28,0
28,68,47,0
30,88,71,0
29,85,35,0
33,70,88,0
23,74,31,0
22,72,44,0
37,60,71,1
26,71,72,0
24,62,42,0
33,72,35,0
29,42,76,0
24,57,58,0
22,64,72,0
24,81,61,0
26,70,77,0
36,42,58,1
35,79,33,0
24,85,24,0
22,63,54,0
26,89,37,0
35,71,28,0
28,86,77,0
30,61,36,0
36,62,26,0
36,41,65,1
31,66,32,0
34,81,59,0
28,41,61,0
38,65,28,0
25,56,69,0
26,79,46,0
28,72,85,0
34,48,24,0
36,82,48,0
32,87,56,0
25,78,57,0
34,68,27,0
28,81,84,0
23,65,36,0
31,74,64,0
34,89,23,0
27,64,55,0
33,63,89,1
33,52,50,1
32,46,38,0
28,75,80,0
22,84,73,0
22,59,58,0
34,40,38,0
30,47,58,0
24,85,86,0
28,55,64,0
27,53,32,0
29,51,77,0
30,62,39,0
26,54,80,0
22,67,58,0
31,73,20,0
33,41,22,0
36,71,81,0
30,62,82,0
38,61,44,0
38,64,75,1
33,61,52,1
28,61,57,0
23,88,25,0
24,81,77,0
38,45,63,1
26,54,64,0
38,82,51,0
38,76,64,0
38,72,80,0
23,47,66,0
23,83,40,0
26,83,55,0
22,44,38,0
22,78,39,0
23,43,76,0
33,45,37,0
27,84,66,0
25,71,68,0
32,69,33,0
38,86,34,0
27,74,50,0
26,79,20,0
23,55,73,0
27,52,22,0
32,89,35,0
37,81,76,0
37,69,31,0
22,58,35,0
30,56,43,0
27,58,47,0
37,67,27,0
24,65,55,0
25,76,27,0
24,65,77,0
28,62,79,0
30,48,69,0
22,51,47,0
29,40,60,0
28,40,83,0
39,86,46,0
29,73,82,0
22,71,36,0
32,87,52,0
39,64,48,1
31,79,32,0
24,84,65,0
28,40,54,0
37,55,25,0
37,78,88,0
38,44,66,1
23,61,44,0
22,68,85,0
